,AID,CID,Activity Outcome,Protein Accession,SMILES
2194137,1671197,9888347.0,Inactive,AAV41877,CC[C@H]1CC[C@@H]([C@@H](N1)C2=CC=CC=C2)NCC3=CC4=C(C=C3OC)[C@H]5C[C@H]5C(=O)N4C
2194139,1671197,135444498.0,Inactive,AAV41877,CC1=CC(=O)NC(=N1)C(C)C
2194141,1671197,9794197.0,Inactive,AAV41877,C[N+](C)(C)CC(CC(=O)[O-])O.Cl
2194143,1671197,25171607.0,Inactive,AAV41877,CCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
2194145,1671197,53316393.0,Active,AAV41877,C1[C@@H](C=C[C@@H]1OC2=CC=CC(=C2)OC3=CC=C(C=C3)F)N(C(=O)N)O
2194147,1671197,9895468.0,Active,AAV41877,CN(C)C(=O)[C@@H]1C[C@H](CN1[C@]2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O
2194149,1671197,9801235.0,Active,AAV41877,C1CN(CCC1C2=CC=CC(=C2)CN)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4F
2194151,1671197,136122621.0,Active,AAV41877,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)\C
2194153,1671197,9882837.0,Active,AAV41877,C1C2C(C3=C1C=C(C=C3)Cl)(N=C(S2)C4=CC=CC=C4)O
2194157,1671197,20848883.0,Inactive,AAV41877,CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl
2194159,1671197,2723822.0,Active,AAV41877,C(O)S(=O)(=O)[O-].[Na+]
2194161,1671197,9899402.0,Inactive,AAV41877,COC1=CC=CC=C1N2CCNCC2.Cl
2194163,1671197,56972160.0,Inactive,AAV41877,C[C@H](C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C.C(=C\C(=O)O)\C(=O)O
2194165,1671197,9853654.0,Inactive,AAV41877,CC(C)(C)OC(=O)NCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N
2194171,1671197,135492483.0,Active,AAV41877,CC/C(=N\OCC)/C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O
2194173,1671197,9869142.0,Inactive,AAV41877,C1CCC(C1)(C(=O)NO)N(CCC(=O)O)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F
2194179,1671197,9818306.0,Active,AAV41877,CC(=O)OC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C
2194181,1671197,9855795.0,Active,AAV41877,C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C
2194183,1671197,54677971.0,Inactive,AAV41877,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
2194185,1671197,135585373.0,Active,AAV41877,CC/C(=N\OC/C=C/Cl)/C1=C(CC(CC1=O)C2CCOCC2)O
2194187,1671197,119057604.0,Active,AAV41877,CCC(=O)N([C@H]1CCN(C[C@H]1C)CCC2=CC=CC=C2)C3=CC=CC=C3.Cl
2194189,1671197,2723772.0,Active,AAV41877,CN1C(=S)N=NN1
2194191,1671197,2723650.0,Inactive,AAV41877,C1CNC(=S)N1
2194193,1671197,86287521.0,Active,AAV41877,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O/N=C/C2=CC(=C(C(=C2)Br)O)Br
2194195,1671197,166642340.0,Active,AAV41877,CCC(C(C[C@H](C)NC)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl
2194197,1671197,53316406.0,Active,AAV41877,CCN1C=C[N+](=C1)C.CCOP(=O)([O-])OCC
2194199,1671197,16683978.0,Inactive,AAV41877,CC(=O)O[Al].O.O
2194201,1671197,9885981.0,Active,AAV41877,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)[O-])OC5=C3C=CC(=C5)[O-].[Na+].[Na+]
2194203,1671197,53316380.0,Active,AAV41877,CCOC(=O)[C@]1([C@H](C2=CC=CC=C2O1)N)C3=CC=CC=C3
2194205,1671197,53249535.0,Active,AAV41877,C/C=C/C(=O)OC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])CCCCCC(C)C
2194207,1671197,166642341.0,Inactive,AAV41877,C/C(=C\C(=[OH+])C)/[O-].C/C(=C\C(=[OH+])C)/[O-].C/C(=C/C(=[OH+])C)/[O-].[Al]
2194211,1671197,54676478.0,Inactive,AAV41877,CN1C2=CC=CC=C2C(=C(C1=O)C(=O)N(C)C3=CC=CC=C3)O
2194215,1671197,2724189.0,Active,AAV41877,C(=S)(NN)NN
2194217,1671197,2724368.0,Inactive,AAV41877,C1=CC(=C(C=C1N)O)C(=O)[O-].[Na+]
2194219,1671197,2723649.0,Inactive,AAV41877,C1=CC2=C(C=CC(=C2N=C1)O)S(=O)(=O)O.O
2194221,1671197,9795389.0,Inactive,AAV41877,[Cl-].[Cl-].[Cl-].[Dy+3]
2194223,1671197,20054967.0,Active,AAV41877,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)C1=CC=CC=C1
2194225,1671197,24194381.0,Inactive,AAV41877,CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CC=C2)C3=CC=CC=C3.Cl
2194227,1671197,135418283.0,Inactive,AAV41877,CN/C(=N\[N+](=O)[O-])/NCC1CCOC1
2194229,1671197,16051969.0,Inactive,AAV41877,CC(=O)O.C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N
