,AID,CID,Activity Outcome,Protein Accession,SMILES
2198593,1671197,18692.0,Inactive,AAV41877,C(C(CO)(CBr)CBr)O
2198595,1671197,19756.0,Active,AAV41877,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
2198597,1671197,29249.0,Active,AAV41877,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O
2198601,1671197,26041.0,Active,AAV41877,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
2198603,1671197,22704.0,Active,AAV41877,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)N
2198607,1671197,21694.0,Inactive,AAV41877,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-]
2198609,1671197,27189.0,Active,AAV41877,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21
2198611,1671197,31404.0,Inactive,AAV41877,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
2198613,1671197,5360350.0,Inactive,AAV41877,[Cl-].[Cl-].[Ba+2]
2198617,1671197,23392.0,Active,AAV41877,C1=CC=NC(=C1)CCl.Cl
2198619,1671197,23665884.0,Active,AAV41877,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
2198621,1671197,15531.0,Inactive,AAV41877,C1=C(C=C(C(=C1Br)O)Br)C#N
2198625,1671197,18430.0,Inactive,AAV41877,C1C(O1)CBr
2198627,1671197,20473.0,Inactive,AAV41877,CO[Si](CCCS)(OC)OC
2198629,1671197,29112.0,Inactive,AAV41877,CCCCCCCCCCOC1=C(C=C2C(=C1)C(=O)C(=CN2)C(=O)OCC)OCC
2198631,1671197,62158.0,Inactive,AAV41877,C1=CC(=C(C=C1[N+](=O)[O-])OCCO)NCCO
2198637,1671197,24482.0,Inactive,AAV41877,[NH4+].NS(=O)(=O)[O-]
2198639,1671197,54740.0,Inactive,AAV41877,CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O
2198641,1671197,27982.0,Inactive,AAV41877,C(CCl)P(=O)(O)O
2198643,1671197,31645.0,Active,AAV41877,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C
2198645,1671197,5355851.0,Active,AAV41877,CC(C)C(=O)OC/C=C/C1=CC=CC=C1
2198647,1671197,32490.0,Inactive,AAV41877,CCCOC(=O)NCCCN(C)C
2198649,1671197,23294.0,Inactive,AAV41877,CCC(C)OC(C)CC
2198651,1671197,23681382.0,Inactive,AAV41877,CC1=CC=CC=C1S(=O)(=O)[O-].[Na+]
2198653,1671197,15277.0,Active,AAV41877,COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-]
2198655,1671197,68297.0,Active,AAV41877,C1=CC=C(C=C1)NC2=CC=CC=C2N
2198659,1671197,20933.0,Inactive,AAV41877,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+]
2198661,1671197,29732.0,Active,AAV41877,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl
2198663,1671197,1549025.0,Inactive,AAV41877,CC(=CCC/C(=C\COC(=O)C)/C)C
2198665,1671197,24244.0,Inactive,AAV41877,C[N+]1(CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C.[I-].[I-]
2198669,1671197,24639.0,Active,AAV41877,[NH4+].[O-]Cl(=O)(=O)=O
2198671,1671197,23347.0,Active,AAV41877,C1=CSC(=C1)SSC2=CC=CS2
2198673,1671197,25213.0,Inactive,AAV41877,C1=CC=C(C(=C1)C(=O)O)O.C(CO)N(CCO)CCO
2198675,1671197,31635.0,Inactive,AAV41877,C1=CC=C(C=C1)CCNC2=CC=CC=C2C(=O)O
2198677,1671197,5354076.0,Inactive,AAV41877,CC(C)C/C(=N/O)/C
2198679,1671197,1066.0,Inactive,AAV41877,C1=CC(=C(N=C1)C(=O)O)C(=O)O
2198683,1671197,23681559.0,Inactive,AAV41877,CCC1=C(C(=O)C=NN1C2=CC=C(C=C2)Cl)C(=O)[O-].[K+]
2198685,1671197,15615.0,Inactive,AAV41877,CN(C)CCC#N
2198687,1671197,55397.0,Inactive,AAV41877,CCCN1CCC[C@H]2[C@H]1CC3=C(C2)NN=C3.Cl
2198691,1671197,19188.0,Inactive,AAV41877,C1=CC=C(C=C1)OCC(=O)O
2198693,1671197,27458.0,Inactive,AAV41877,CCC1=NC=CN=C1CC
2198695,1671197,62097.0,Active,AAV41877,CCCCNC(=O)OCC#CI
2198697,1671197,22420.0,Inactive,AAV41877,C1CNP(=O)(OC1)N(CCCl)CCCl.O
2198699,1671197,19042.0,Active,AAV41877,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C
2198703,1671197,54740.0,Inactive,AAV41877,CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O
2198707,1671197,31355.0,Inactive,AAV41877,CC(C)COP(=O)(OCC(C)C)OCC(C)C
2198709,1671197,1550472.0,Inactive,AAV41877,C1[C@H]2[C@@H]([C@H]([C@H]1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
2198713,1671197,24451.0,Inactive,AAV41877,OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]
2198715,1671197,23662274.0,Inactive,AAV41877,CC(=O)C(=O)[O-].[Na+]
2198717,1671197,15583.0,Inactive,AAV41877,C1C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)CBr
2198719,1671197,66461.0,Active,AAV41877,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O
2198721,1671197,18302.0,Inactive,AAV41877,C(CO)C(CO)O
2198723,1671197,18689.0,Active,AAV41877,CCC(COC(=O)C(=C)C)(COC(=O)C(=C)C)COC(=O)C(=C)C
2198725,1671197,27211.0,Active,AAV41877,C1C2=CC=CC=C2N(C1=O)C3=C(C=CC=C3Cl)Cl
2198727,1671197,1551245.0,Active,AAV41877,CC(=CCC/C(=C\C#N)/C)C
2198729,1671197,21984.0,Inactive,AAV41877,C(CN(CC#N)CC#N)N(CC#N)CC#N
2198731,1671197,18938.0,Inactive,AAV41877,CC(CCO)CC(C)(C)C
2198735,1671197,23654.0,Inactive,AAV41877,CN(C)N=NC1=CC=CC=C1
2198737,1671197,24699.0,Inactive,AAV41877,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
2198739,1671197,31282.0,Inactive,AAV41877,C(COC(=O)Cl)OC(=O)Cl
2198741,1671197,1549521.0,Inactive,AAV41877,C1=COC(=C1)/C=C/C=O
2198743,1671197,980.0,Active,AAV41877,C1=CC(=CC=C1[N+](=O)[O-])O
2198745,1671197,23392.0,Inactive,AAV41877,C1=CC=NC(=C1)CCl.Cl
2198749,1671197,15109.0,Inactive,AAV41877,COC1=C(C(=CC=C1)OC)C(=O)O
2198755,1671197,18555.0,Inactive,AAV41877,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]
2198757,1671197,26975.0,Active,AAV41877,CCCCCC1=CC=C(C=C1)O
2198759,1671197,61953.0,Inactive,AAV41877,CC1CCC2(O1)C(=CCCC2(C)C)C
2198761,1671197,22710.0,Inactive,AAV41877,C1=CC(=C(C=C1C=O)Cl)Cl
2198765,1671197,25670.0,Active,AAV41877,CCOP(=S)(OCC)SCSC(C)(C)C
2198767,1671197,51755.0,Active,AAV41877,C1=CC=C(C=C1)SC2=CC=C(C=C2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl
2198769,1671197,24699.0,Inactive,AAV41877,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
2198771,1671197,31070.0,Active,AAV41877,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C
2198773,1671197,213013.0,Active,AAV41877,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl
2198775,1671197,32484.0,Inactive,AAV41877,CC(C)C1=C(C(=CC=C1)C(C)C)N
2198777,1671197,21575.0,Inactive,AAV41877,CC1=C(C(=CC=C1)C(=O)O)[N+](=O)[O-]
2198779,1671197,12942137.0,Active,AAV41877,CCCCCCCCCCCCCCN(CCO)CCO
2198781,1671197,16212880.0,Active,AAV41877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1=CC=CC=C1
2198785,1671197,17100.0,Inactive,AAV41877,CC1=CCC(CC1)C(C)(C)O
2198787,1671197,17857.0,Inactive,AAV41877,CC1(CC(CC(C1)(C)CN)N)C
2198789,1671197,27982.0,Inactive,AAV41877,C(CCl)P(=O)(O)O
2198791,1671197,180494.0,Active,AAV41877,CC1=C2CC[C@@H](C(=O)N2C3=CC=CC=C13)CC4=C(NC=N4)C.Cl
2198793,1671197,23435.0,Inactive,AAV41877,CC(C)(CO)N(C)C
2198795,1671197,18487.0,Active,AAV41877,CC1=C(C=CC(=C1)Cl)N.Cl
2198797,1671197,24351.0,Active,AAV41877,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C.Cl
2198799,1671197,26690.0,Active,AAV41877,CCCCCCCCCC(=O)N(C)C
2198801,1671197,24644.0,Inactive,AAV41877,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-]
2198803,1671197,30231.0,Inactive,AAV41877,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O
2198805,1671197,205586.0,Active,AAV41877,C1CCN[C@@H](C1)C2=CN=CC=C2
2198807,1671197,938.0,Inactive,AAV41877,C1=CC(=CN=C1)C(=O)O
2198809,1671197,21534.0,Inactive,AAV41877,C(C(=O)[O-])S.[NH4+]
2198811,1671197,329983.0,Active,AAV41877,CC1CCC2=C(C1)OC=C2C
2198815,1671197,54900.0,Active,AAV41877,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl
2198817,1671197,16666.0,Inactive,AAV41877,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
2198819,1671197,18196.0,Inactive,AAV41877,CN(C)CCN(C)CCN(C)C
2198823,1671197,62551.0,Inactive,AAV41877,C(COCCOCCOCCOCCO)O
2198825,1671197,24114.0,Inactive,AAV41877,CCCCOC(=O)C(C)OC(=O)CCC
2198827,1671197,18635.0,Active,AAV41877,CSCCC=O
2198829,1671197,24466.0,Inactive,AAV41877,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl
2198831,1671197,51556.0,Active,AAV41877,CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
2198835,1671197,30709.0,Active,AAV41877,COP(=S)(C1=CC=CC=C1)OC2=CC(=C(C=C2Cl)Br)Cl
2198837,1671197,198231.0,Active,AAV41877,CCC1=C2C(=CC=C1)C(=CN2)CCO
2198839,1671197,31389.0,Active,AAV41877,C1=CC(=CC(=C1)S(=O)(=O)[O-])[N+](=O)[O-].[Na+]
2198841,1671197,20414.0,Inactive,AAV41877,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
2198843,1671197,5284373.0,Active,AAV41877,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
2198845,1671197,517383.0,Active,AAV41877,C1=CC=C(C=C1)C2=CC=CC=C2[O-].O.O.O.O.[Na+]
2198847,1671197,66264.0,Inactive,AAV41877,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F.Cl
2198849,1671197,16685.0,Active,AAV41877,C1=CC(=CC=C1SC2=CC(=C(C=C2Cl)Cl)Cl)Cl
2198851,1671197,17525.0,Inactive,AAV41877,CCCCCCOC(=O)CCC
2198853,1671197,25249.0,Active,AAV41877,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C
2198855,1671197,169132.0,Active,AAV41877,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C
2198857,1671197,21576.0,Inactive,AAV41877,CC(=O)CC(=O)NC1=CC=C(C=C1)OC
2198859,1671197,19402.0,Active,AAV41877,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O
2198861,1671197,23017.0,Inactive,AAV41877,C1=C(C(=O)NC(=C1Cl)Cl)Cl
2198863,1671197,24842.0,Active,AAV41877,NN.OS(=O)(=O)O
2198865,1671197,24412.0,Inactive,AAV41877,[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+]
2198867,1671197,29096.0,Inactive,AAV41877,CC(CCCC(C)(C)O)C=C
2198869,1671197,169743.0,Inactive,AAV41877,CCN1CCC2=C(CC1)OC(=N2)N.Cl.Cl
2198871,1671197,811.0,Inactive,AAV41877,C=C(CC(=O)O)C(=O)O
2198873,1671197,21499.0,Active,AAV41877,CCCCC(CC)COCCCN
2198875,1671197,5284421.0,Active,AAV41877,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
2198877,1671197,5459110.0,Inactive,AAV41877,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
2198881,1671197,16454.0,Inactive,AAV41877,C=CCOC(=O)N
2198883,1671197,17516.0,Active,AAV41877,CC1=CC(=CC(=C1)OC(=O)NC)C(C)C
2198885,1671197,24750.0,Inactive,AAV41877,CCCCCCCCCCCCOCCO
2198887,1671197,62493.0,Inactive,AAV41877,CC(C)(C)C(=O)Cl
2198889,1671197,20701.0,Active,AAV41877,CCCCCCCCCCCCCCCCCC(=O)[O-].C(CO)[NH+](CCO)CCO
2198891,1671197,20279.0,Inactive,AAV41877,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
2198893,1671197,24233.0,Inactive,AAV41877,CC(C(C)Cl)Cl
2198897,1671197,24309.0,Inactive,AAV41877,CCCCC(CC)COC(=O)CS
2198899,1671197,29228.0,Inactive,AAV41877,C1=C(C=C(C(=C1Cl)[N+](=O)[O-])Cl)Cl
2198901,1671197,162839.0,Inactive,AAV41877,C1=CC(=NC(=C1Cl)C(=O)O)Cl.C(CO)N
2198903,1671197,31362.0,Active,AAV41877,CC(C)CC(C)(C#CC(C)(CC(C)C)O)O
2198905,1671197,20167.0,Active,AAV41877,C1=CC=C(C=C1)C(=O)OCC(COC(=O)C2=CC=CC=C2)(COC(=O)C3=CC=CC=C3)COC(=O)C4=CC=CC=C4
2198907,1671197,5284499.0,Inactive,AAV41877,CCCCCCCC/C=C\CCCCCCCCO
2198909,1671197,5388977.0,Active,AAV41877,CCC(COC(=O)C1=CC(=C(C(=C1)OC)OC)OC)(C2=CC=CC=C2)N(C)C.C(=C\C(=O)O)\C(=O)O
2198911,1671197,66061.0,Inactive,AAV41877,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O.Cl
2198913,1671197,16541.0,Inactive,AAV41877,CCCCCCCCCCOC(=O)C=C
2198917,1671197,25223.0,Inactive,AAV41877,CC(C)(CC1=CC=CC=C1Cl)N
2198919,1671197,156414.0,Inactive,AAV41877,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
2198921,1671197,20691.0,Inactive,AAV41877,CCCCN(CCCC)C(=O)N(CCCC)CCCC
2198925,1671197,22563.0,Inactive,AAV41877,CC(C)NC1=NC(=NC(=N1)N)Cl
2198927,1671197,24752.0,Inactive,AAV41877,CCCCOCC(C)OCC(C)O
2198929,1671197,24287.0,Active,AAV41877,Cl[Sn](Cl)(Cl)Cl
2198931,1671197,27979.0,Inactive,AAV41877,CC(C)COCNC(=O)C=C
2198935,1671197,892.0,Inactive,AAV41877,C1(C(C(C(C(C1O)O)O)O)O)O
2198937,1671197,19079.0,Active,AAV41877,CCCCCCCCSCCO
2198939,1671197,5284366.0,Inactive,AAV41877,C[NH+](C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)[O-])\C(=O)O
2198941,1671197,5387121.0,Active,AAV41877,C1=CC=C(C=C1)COC(=O)/N=N/C(=O)OCC2=CC=CC=C2
2198943,1671197,47491.0,Inactive,AAV41877,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl
2198945,1671197,25053.0,Inactive,AAV41877,CCCCC(CC)COCCC#N
2198947,1671197,17581.0,Active,AAV41877,COC1=CC(=C(C=C1Cl)OC)Cl
2198949,1671197,24434.0,Inactive,AAV41877,[N+](=O)([O-])[O-].[K+]
2198951,1671197,62421.0,Inactive,AAV41877,CC(C)CCC(=O)CCC(C)C
2198953,1671197,20393.0,Active,AAV41877,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O
2198955,1671197,19165.0,Active,AAV41877,CC1=CC(=CC=C1)OC2=CC=CC=C2
2198957,1671197,22311.0,Inactive,AAV41877,CC1=CCC(CC1)C(=C)C
2198959,1671197,50108.0,Active,AAV41877,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=CC(=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+]
2198961,1671197,23284.0,Inactive,AAV41877,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C
2198963,1671197,27866.0,Inactive,AAV41877,CC1CCOC(C1)C=C(C)C
2198965,1671197,161803.0,Active,AAV41877,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl.Cl
2198967,1671197,31356.0,Active,AAV41877,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br
2198969,1671197,19395.0,Active,AAV41877,CCOP(=S)(OCC)OP(=S)(OCC)OCC
2198971,1671197,5280567.0,Inactive,AAV41877,CC1=CC(=O)OC2=C1C=CC(=C2)O
2198973,1671197,5375199.0,Inactive,AAV41877,CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C
2198977,1671197,24934.0,Inactive,AAV41877,[O-][Se](=O)[O-].[Na+].[Na+]
2198979,1671197,17595.0,Inactive,AAV41877,CCN1CCCC1=O
2198981,1671197,22571.0,Active,AAV41877,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N
2198983,1671197,155166.0,Active,AAV41877,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br
2198987,1671197,17617.0,Inactive,AAV41877,C=CCOC(=O)CCC1CCCCC1
2198989,1671197,21648.0,Active,AAV41877,CC(=O)CCC1=CC=C(C=C1)O
2198991,1671197,24744.0,Active,AAV41877,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
2198993,1671197,23540.0,Active,AAV41877,CN(C)C1=CC=C(C=C1)SC#N
2198997,1671197,158076.0,Active,AAV41877,CC(C)(C)[C@H]([C@@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
2199001,1671197,18728.0,Active,AAV41877,C1CC(C(CC1C(CBr)Br)Br)Br
2199005,1671197,5371560.0,Inactive,AAV41877,C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC
2199007,1671197,44072.0,Active,AAV41877,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)[O-].[Na+]
2199009,1671197,24847.0,Inactive,AAV41877,CCCCCC(CCC)CO
2199011,1671197,17432.0,Inactive,AAV41877,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
2199013,1671197,22344.0,Inactive,AAV41877,C1(=C(SC(=C1Cl)Cl)Cl)Cl
2199015,1671197,62725.0,Active,AAV41877,CC(C)CC1=NC=CS1
2199017,1671197,17891.0,Active,AAV41877,COC(=O)CC1=CC=CC2=CC=CC=C21
2199019,1671197,17593.0,Active,AAV41877,CC1=C(C(=CC=C1)N)N
2199021,1671197,21645.0,Active,AAV41877,[NH3+]O.[Cl-]
2199023,1671197,49381.0,Inactive,AAV41877,CN1CCN(CC1)C2=NC3=C(CC4=CC=CC=C42)C=CC(=C3)F
2199025,1671197,22947.0,Inactive,AAV41877,CC1(C(=O)N(C(=O)N1CO)CO)C
2199029,1671197,146256.0,Inactive,AAV41877,CC1=C(C(=CC=C1)OCC(CNC(C)(C)C)O)C
2199033,1671197,18016.0,Active,AAV41877,CCCCOC(=O)CCCCCCCC(=O)OCCCC
2199035,1671197,449171.0,Active,AAV41877,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C
2199037,1671197,5365910.0,Active,AAV41877,CC(=CCC/C(=C/C(=O)OC)/C)C
2199039,1671197,65894.0,Inactive,AAV41877,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O
2199041,1671197,24685.0,Active,AAV41877,CC(C)OC(=O)NC1=CC=CC=C1
2199043,1671197,17170.0,Active,AAV41877,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl
2199047,1671197,154256.0,Active,AAV41877,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O.CC(=O)O
2199049,1671197,20169.0,Active,AAV41877,CC(C)(COC(=O)C1=CC=CC=C1)COC(=O)C2=CC=CC=C2
2199051,1671197,17113.0,Active,AAV41877,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2
2199053,1671197,20129.0,Active,AAV41877,CC(CO)OC1=CC=CC=C1
2199055,1671197,23728.0,Inactive,AAV41877,CN(C)CCN1CCN(C1=O)C2=CC(=CC=C2)Cl
2199059,1671197,26049.0,Active,AAV41877,CC1=CCC2C(C1)C2(C)C
2199061,1671197,142766.0,Inactive,AAV41877,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2
2199063,1671197,299.0,Active,AAV41877,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
2199065,1671197,18529.0,Active,AAV41877,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br
2199071,1671197,47866.0,Inactive,AAV41877,C1CC1NC2=NC(=NC(=N2)N)N
2199075,1671197,16971.0,Inactive,AAV41877,COC1=CC(=CC=C1)Br
2199077,1671197,21803.0,Active,AAV41877,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl
2199079,1671197,62661.0,Active,AAV41877,CC(C)CC(CC1=CC=CC=C1)O
2199081,1671197,19604.0,Inactive,AAV41877,CCOC(=O)NNC1=NN=CC2=CC=CC=C21.Cl
2199085,1671197,18831.0,Inactive,AAV41877,C1(=NC(=NC(=N1)Cl)N)N
2199087,1671197,41206.0,Active,AAV41877,CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C
2199089,1671197,22206.0,Active,AAV41877,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
2199091,1671197,25887.0,Inactive,AAV41877,COC1=CC(=CC(=C1OC)OC)CC#N
2199093,1671197,119607.0,Active,AAV41877,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
2199097,1671197,17695.0,Active,AAV41877,CCCCC[Si](OCC)(OCC)OCC
2199099,1671197,445639.0,Active,AAV41877,CCCCCCCC/C=C\CCCCCCCC(=O)O
2199101,1671197,5355732.0,Active,AAV41877,C/C=C(\C)/C#N
2199105,1671197,24066.0,Active,AAV41877,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N
2199107,1671197,16724.0,Inactive,AAV41877,CC1=CC[C@@H](CC1=O)C(=C)C
2199109,1671197,21102.0,Inactive,AAV41877,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C
2199113,1671197,17593.0,Active,AAV41877,CC1=C(C(=CC=C1)N)N
2199115,1671197,17095.0,Inactive,AAV41877,CCCCCCCCCCCC=C
2199117,1671197,18783.0,Inactive,AAV41877,CCCCCCCCCCCC(=O)N(CC)CC
2199119,1671197,21685.0,Inactive,AAV41877,CCC(C)C1=C(C(=CC=C1)C(C)CC)O
2199121,1671197,21414.0,Inactive,AAV41877,CCCCCCCCCCC(CCCCCCCC)CO
2199123,1671197,27400.0,Active,AAV41877,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1
2199125,1671197,117734.0,Inactive,AAV41877,CO[Si](CCCN1C(=O)N(C(=O)N(C1=O)CCC[Si](OC)(OC)OC)CCC[Si](OC)(OC)OC)(OC)OC
2199129,1671197,17595.0,Inactive,AAV41877,CCN1CCCC1=O
2199131,1671197,16211849.0,Inactive,AAV41877,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-]
2199133,1671197,11075478.0,Inactive,AAV41877,CCN1C=C[N+](=C1)C.[I-]
2199135,1671197,47528.0,Inactive,AAV41877,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]
2199137,1671197,23565.0,Inactive,AAV41877,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C.O.O.O
2199139,1671197,16666.0,Inactive,AAV41877,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
2199143,1671197,62884.0,Active,AAV41877,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
2199145,1671197,17869.0,Active,AAV41877,CC(=C)C(=O)OCCN(C)C
2199147,1671197,17038.0,Active,AAV41877,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl
2199149,1671197,18604.0,Inactive,AAV41877,CCCCCCCCCCCCC1CO1
2199151,1671197,41718.0,Active,AAV41877,CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C
2199153,1671197,21202.0,Active,AAV41877,C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O
2199155,1671197,24585.0,Inactive,AAV41877,CC1CCC(C(C1)O)C(=C)C
2199157,1671197,117640.0,Active,AAV41877,CC(C)(C)OC(=O)C1=CC=C(C=C1)O
2199159,1671197,31297.0,Inactive,AAV41877,CS(=O)(=O)Cl
2199161,1671197,17109.0,Active,AAV41877,CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3
2199163,1671197,543207.0,Inactive,AAV41877,C1=NN=NN1CC(=O)O
2199165,1671197,11074431.0,Active,AAV41877,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+]
2199167,1671197,62753.0,Inactive,AAV41877,CC(C)(C1=CC(=C(C(=C1)Br)OCC(CBr)Br)Br)C2=CC(=C(C(=C2)Br)OCC(CBr)Br)Br
2199169,1671197,23537.0,Active,AAV41877,CC1=C(C=C(C=C1)NC(=O)C)Cl
